Clinician's handbook of natural healing	Null, Gary	R73 .N847 1998
Dinosaur eggs	Gray, Susan Heinrichs	QE861.6.E35 G73 2007
Contributions to the geology of Arkansas		QE87 .C66 1982
How the dinosaurs became extinct	Fernando, S. N. U.	QE862.D5 F47 1985
Dinosaur hunt : Texas, 115 million years ago	Carr, Karen	QE861.6.T72 C37 2002
3-minute nursery stories		PZ5 .A124 2003
Mathematik für Ingenieure	Ansorge, R.	QA3000 .A567 1994
Zwrotnik dinozaura	Kuczyński, Maciej	QE862.D5 K75
Flying dinosaurs : pterodactyls	Berenstain, Mike	QE862.P7 B47 1991
Ho-Nikon	McLeod, G.	PS3563.C384437 H6 1999
Cranks, quarks, and the cosmos : writings on science	Bernstein, Jeremy	Q173 .B54 1993
Danmarks pattedyr i fortiden i sammenligning med recente former	Degerbøl, Magnus	QE88 .D28 1933
Dinosaurs in your backyard	Mannetti, William	QE862.D5 M353 1982
Dinosaur Mountain : graveyard of the past	Arnold, Caroline	QE862.D5 A75 1989
Gone! : dino extinction	Kranking, Kathy	QE861.6.E95 K73 2006
Dragon bones and dinosaur eggs : a photobiography of Roy Chapman Andrews	Bausum, Ann	QH31.A55 B38 2000
Let's meet the triceratops and other Cretaceous dinosaurs	Adam, Winky	QE861.5 .A33 1998
5-minute Disney-Pixar stories		PZ5 .A121785 2019
Hey Mom, what about dinosaurs?	Husted, Russell	BS651 .H84 1999
Dinosaurs and other Mesozoic reptiles of California	Hilton, Richard P.	QE861.8.C2 H55 2003
Reviews in number theory, 1984-96 : as printed in Mathematical reviews		QA241 .R462 1997
Reconstructions of the small Cretaceous theropod Stenonychosaurus inequalis and a hypothetical dinosauroid	Russell, Dale A.	QE862.D5 R78 1982
God made dinosaurs	Head, Heno	QE861.5 .H43 2001
Reading together : a new reader's first library : taking off		PZ5 .R1984165 1999
Dinosaurs galore	Telles, Cecilia R.	QE862.D5 T45 1993
Dinosaurs : unearthing the secrets of ancient beasts	Nardo, Don	QE862.D5 N373 1995
Maximal orders	Reiner, Irving	QA247 .R43 2003
Dinosaurs: fun with matching pictures		QE861.5 .D564 2000
Feathered dinosaurs	Czerkas, Stephen	QE861.6.F45 C94 2008
Dinosaurs from China : including catalogue to the exhibition in the National Museum of Victoria and the Australian Museum, Sydney		QE862.D5 D52 1982
Mix & match book of dinosaurs	Sanders, George	QE862.D5 S125 1992
Flip-pop counting	Diaz, James	QA1133 .D53 1999
